63.32.194.15:2053#IE [4832.82ms]
103.181.177.88:443#IN [181.9ms]
98.70.26.236:443#IN [922.09ms]
20.235.220.189:443#IN [1035.84ms]
20.219.46.208:8443#IN [1036.01ms]
20.235.105.146:443#IN [1036.35ms]
139.84.221.153:8443#IN [1489.64ms]
139.84.146.103:8443#IN [1489.73ms]
139.84.168.252:2053#IN [1489.81ms]
89.147.111.223:2053#IS [1652.2ms]
89.147.109.212:443#IS [1652.52ms]
185.247.226.138:443#IS [1965.77ms]
151.236.24.54:443#IS [2244.68ms]
113.30.151.151:8443#IT [338.55ms]
113.30.151.151:2053#IT [338.7ms]
45.144.172.33:443#IT [1504.37ms]
4.232.64.201:443#IT [1546.86ms]
185.47.172.172:8443#IT [1946.54ms]
172.238.238.203:2053#IT [2084.23ms]
80.211.48.113:443#IT [4109.0ms]
13.231.33.243:443#JP [69.65ms]
115.163.106.137:443#JP [88.31ms]
104.238.151.159:443#JP [125.23ms]
108.160.132.178:443#JP [126.55ms]
107.191.53.228:443#JP [126.91ms]
126.220.82.161:443#JP [138.78ms]
132.145.127.203:8443#JP [226.79ms]
132.145.127.203:2053#JP [228.07ms]
5.144.180.142:443#KG [2143.09ms]
38.54.4.209:443#KH [1549.13ms]
119.28.162.39:8443#KR [优选高速 41.76ms]
123.111.169.70:8443#KR [优选高速 69.38ms]
123.111.169.70:2087#KR [69.73ms]
123.111.169.70:443#KR [72.4ms]
123.111.169.70:2096#KR [75.05ms]
123.111.169.70:2083#KR [80.56ms]
85.155.176.11:8443#KR [1084.14ms]
193.123.233.175:443#KR [1323.74ms]
104.238.24.139:8443#KZ [203.07ms]
94.247.128.245:443#KZ [1161.34ms]
94.198.221.86:443#KZ [1168.23ms]
185.22.67.12:443#KZ [1415.84ms]
5.39.253.54:443#KZ [1470.21ms]
5.39.253.198:8443#KZ [1470.57ms]
86.104.73.185:443#KZ [1481.57ms]
45.136.57.82:8443#KZ [1510.6ms]
130.12.171.96:8443#LT [281.1ms]
94.176.235.22:443#LT [1399.38ms]
89.40.4.81:443#LT [1622.63ms]
85.206.172.44:443#LT [1719.69ms]
185.80.128.115:8443#LT [1939.53ms]
185.237.185.110:2053#LT [1975.68ms]
176.223.143.235:443#LT [2057.84ms]
5.199.173.195:443#LT [2123.05ms]
104.253.18.177:443#LV [335.68ms]
109.248.163.151:443#LV [340.27ms]
109.206.236.217:443#LV [342.34ms]
104.253.43.249:443#LV [371.95ms]
104.253.43.215:443#LV [372.12ms]
104.253.43.14:443#LV [372.28ms]
104.253.18.200:443#LV [372.47ms]
104.253.18.148:443#LV [375.79ms]
104.128.130.7:443#MD [407.08ms]
185.216.68.218:8443#MD [1422.28ms]
46.183.185.142:443#MK [1491.18ms]
216.238.82.140:8443#MX [1718.02ms]
216.238.80.148:8443#MX [1718.65ms]
216.238.88.154:8443#MX [1718.68ms]
216.238.79.83:8443#MX [1719.05ms]
96.126.190.196:443#MY [928.49ms]
163.61.103.239:443#MY [1986.91ms]
47.250.81.46:2087#MY [2158.92ms]
47.250.212.59:443#MY [2159.13ms]
47.250.212.59:2053#MY [2159.32ms]
107.161.175.246:443#NL [136.78ms]
107.161.175.50:443#NL [137.31ms]
109.104.153.94:443#NL [150.76ms]
103.65.231.157:443#NL [154.61ms]
103.104.246.171:8443#NL [156.64ms]
103.104.246.122:8443#NL [158.65ms]
103.97.88.133:8443#NL [196.31ms]
109.172.93.59:443#NL [320.92ms]
103.167.234.26:443#PL [219.01ms]
103.31.77.108:2053#PL [412.68ms]
138.124.104.58:443#PL [811.95ms]
138.124.104.213:443#PL [812.25ms]
138.124.104.104:443#PL [812.83ms]
204.77.3.74:2053#PL [1025.43ms]
45.43.137.179:443#PL [1027.01ms]
2.59.163.33:443#PL [1038.52ms]
85.120.229.131:443#RO [1310.43ms]
85.120.228.76:443#RO [1310.82ms]
45.136.199.148:443#RO [1511.25ms]
45.134.48.53:8443#RO [1512.11ms]
45.13.38.36:2053#RO [1516.8ms]
45.13.38.120:443#RO [1517.01ms]
85.90.196.38:443#RO [1712.0ms]
85.90.196.11:443#RO [1712.46ms]
89.46.236.145:443#RS [1462.76ms]
87.121.38.57:443#RS [1469.19ms]
38.180.100.80:443#RS [1578.68ms]
109.71.242.243:8443#RU [96.79ms]
103.113.68.210:443#RU [194.4ms]
109.73.205.158:2096#RU [339.0ms]
109.61.108.158:8443#RU [339.48ms]
109.61.108.158:443#RU [339.62ms]
109.248.168.196:8443#RU [339.75ms]
109.122.199.119:2053#RU [344.64ms]
109.107.189.6:443#RU [356.99ms]
130.49.178.164:8443#SE [241.62ms]
109.120.134.104:443#SE [330.35ms]
129.151.198.3:8443#SE [330.69ms]
129.151.198.3:2053#SE [330.8ms]
109.120.187.185:443#SE [346.5ms]
109.120.134.216:443#SE [356.0ms]
138.124.85.225:443#SE [579.28ms]
138.124.99.175:443#SE [581.75ms]
129.150.48.17:443#SG [110.2ms]
124.156.202.172:443#SG [112.84ms]
116.251.217.65:443#SG [335.11ms]
116.251.217.107:443#SG [335.27ms]
116.251.216.23:8443#SG [335.48ms]
116.251.216.12:8443#SG [335.73ms]
109.121.39.70:443#SG [346.24ms]
140.245.107.0:8443#SG [497.95ms]
5.35.103.185:8443#SK [1472.78ms]
45.129.141.188:443#SK [1518.11ms]
37.9.171.189:443#SK [1800.82ms]
45.154.24.170:443#TH [1489.35ms]
45.154.24.89:443#TH [1490.55ms]
45.150.131.246:443#TH [1496.17ms]
45.150.128.181:443#TH [1496.37ms]
45.150.128.159:443#TH [1496.58ms]
45.136.254.175:443#TH [1511.04ms]
43.229.148.43:443#TH [1537.62ms]
43.229.148.110:443#TH [1538.33ms]
107.161.174.99:443#TR [370.05ms]
104.239.87.89:8443#TR [395.16ms]
104.239.87.51:443#TR [395.31ms]
103.83.87.219:8443#TR [408.44ms]
103.83.87.133:443#TR [408.78ms]
103.83.87.111:443#TR [408.96ms]
138.249.20.76:443#TR [560.11ms]
138.124.107.35:443#TR [810.76ms]
103.137.63.227:8443#TW [110.52ms]
103.115.108.45:443#TW [162.64ms]
220.135.92.105:2087#TW [1701.23ms]
151.242.189.137:443#TW [2241.39ms]
103.152.113.60:8443#US [147.58ms]
104.236.186.204:443#US [160.7ms]
104.248.68.179:8443#US [163.2ms]
104.248.68.179:2053#US [164.11ms]
104.248.68.179:2087#US [165.62ms]
104.248.68.179:443#US [171.51ms]
104.248.68.179:2096#US [171.56ms]
107.170.235.229:443#US [172.97ms]
157.22.128.7:443#UZ [5393.26ms]
193.124.57.93:443#Unknown [1931.63ms]
84.8.137.211:443#ZA [1313.56ms]
156.38.157.171:2053#ZA [1386.72ms]
139.84.236.69:443#ZA [1489.33ms]
139.84.235.99:443#ZA [1489.52ms]
139.84.231.16:8443#ZA [1489.6ms]
139.84.226.30:8443#ZA [1489.7ms]
156.38.157.171:8443#ZA [5696.77ms]
